name,1d,1w,1m,1y,all
Absheron,0.009893400908109307,0.5563560242072856,0.2858910383317277,0.3212284175404265,0.5086030134398154
Aran,0.30870476802422187,0.16865986474625405,0.2941560462760272,0.7631043269438162,0.1295306443969677
Daglig-Shirvan,0.768936930045177,0.06734972516369475,0.5853252158637363,0.349471026452545,0.7948624608450405
Ganja-Qazakh,0.8865486046055032,0.9492562483769552,0.711128037619256,0.46920104737195323,0.014046515181868058
Kalbajar-Lachin,0.3133203002692069,0.09027859411548012,0.02856363142210072,0.09246897227359585,0.721393726380529
Lankaran,0.7189249861950763,0.4177874106589008,0.9016459445358194,0.398747366462034,0.008443618974010692
Nakhchivan,0.35723033388059966,0.879051974039597,0.08375850763768677,0.11308629602270892,0.8770137926880063
Quba-Khachmaz,0.8816556755256527,0.8830365692540242,0.45921505219223024,0.9461639868325299,0.5556298672446746
Shaki-Zaqatala,0.07295769101790328,0.24721728142715005,0.9959688408629067,0.7792685004359723,0.5256458017986738
Yukhari-Karabakh,0.8571882670804167,0.8305698571266554,0.14278964418075613,0.6793226370662099,0.7242999348689595
