name,1d,1w,1m,1y,all
Barking and Dagenham,0.6342107584074951,0.2192598864638845,0.37537714610205775,0.8144133092241602,0.7765947542317378
Bath and North East Somerset,0.19792231169047614,0.5154012242250301,0.5022265873760013,0.7043676666659386,0.6061050658284516
Bedfordshire,0.9275423711237236,0.95297882498638,0.5142776379414442,0.9992347298319109,0.7217908785108174
Berkshire,0.7514282256003595,0.7026729529089178,0.9862081306678087,0.31055692832437365,0.7932673220194231
Bexley,0.8574523470807475,0.528645433744883,0.6804480460137357,0.207288054196473,0.4565409806597671
Blackburn with Darwen,0.4684157629876685,0.28652850231137705,0.31254083605173266,0.2150909730455004,0.4203371017806191
Bournemouth,0.8433287335234898,0.7048030999289783,0.38367029185383916,0.5343537167195191,0.5468133009108267
Brent,0.9238131179789331,0.5391505796353991,0.4369507014137838,0.5248282046217649,0.4356682663046598
Brighton and Hove,0.5405472351486691,0.10481005782901631,0.1250721738905718,0.7559348347278378,0.3227538719358404
Bristol,0.7325197800623949,0.650431238516319,0.5731249604894831,0.14779644168209982,0.4550425775550525
Bromley,0.9780569468290041,0.291090063554166,0.4068347044938777,0.9085889032207994,0.27629527542188215
Buckinghamshire,0.5475174995220073,0.14359424812100274,0.4616028105600801,0.8111905601864384,0.43092564406336986
Cambridgeshire,0.6067256330435187,0.6943070585119493,0.37816904646729066,0.8488590138728838,0.8292129931720627
Camden,0.6397349347681601,0.450302119978767,0.27862712779395815,0.9695466494138655,0.5684981259151248
Cheshire,0.3849083780586332,0.8262999175879578,0.006969796097788361,0.03293438895599898,0.6212953985716956
Cornwall,0.7653888728381164,0.6230478155817953,0.1910642095356223,0.45996634635026523,0.9766364854892022
Croydon,0.6038559391181113,0.8077693385361062,0.10918999007234498,0.7062868104095154,0.4114524118106063
Cumbria,0.9817129912667009,0.6496103675028481,0.6884836060966748,0.8785291481905461,0.9505817910822982
Darlington,0.6174385849189926,0.29152810496199355,0.04726135600834669,0.6088617787805974,0.8948078010361512
Derbyshire,0.7346691242666569,0.7145577600641762,0.3813434188378363,0.2544417967499789,0.41693182879437696
Derby,0.8622199593250645,0.88541802994227,0.02783661281253824,0.045041880267194134,0.7773321878879732
Devon,0.10445401704460489,0.7922398924252628,0.2982507193394698,0.1568243237036694,0.1554138372512528
Dorset,0.16896819082320502,0.10194205822733604,0.10575035619729223,0.49594071471073065,0.5465909020193382
Durham,0.7902878787330913,0.4726754368445105,0.8098402433815708,0.6882556969921103,0.09330423422209122
Ealing,0.9408002080727287,0.6829309007649028,0.6946718033501921,0.17043703433001045,0.3588711739997583
East Riding of Yorkshire,0.32704307034278235,0.24900176690469855,0.5253208410523084,0.7661689593853652,0.8590038156262827
East Sussex,0.9408815893154824,0.009195581068922043,0.672294258563425,0.9921070365681844,0.7832704360928764
Enfield,0.02253299111607132,0.4467012541207348,0.2388217338784333,0.6334826778755885,0.5183376846080668
