name,1d,1w,1m,1y,all
Azad Kashmir,0.11895443778223258,0.7036973240492288,0.3886413214979064,0.3663296336556596,0.32457826187955674
Kalat,0.07941980870540122,0.7222644398331539,0.23760785659477013,0.42719553285183887,0.9158446914192403
Makran,0.1929871659172342,0.2316988814070794,0.9995080926180386,0.9893737856531831,0.7382168046488572
Nasirabad,0.18136932458721822,0.24059001446445216,0.7534560404008048,0.6446583991271173,0.13961086748082974
Quetta,0.7571711656186894,0.7435399731890652,0.3991869817009648,0.3641289785577392,0.969399463825428
Sibi,0.1314929050742285,0.8819785738102974,0.7823101175825655,0.28467690505108645,0.44881705382047765
Zhob,0.3837065879103817,0.5931015335766587,0.19161178475469554,0.24884496709887793,0.42563467793758314
F.A.T.A.,0.7729923742581997,0.6571954405288201,0.3805912089330038,0.1551194309568188,0.36156916137201667
Islamabad,0.7072230486822911,0.6934824828620605,0.797890501516465,0.14911538588252626,0.8614394839479508
Bannu,0.6923052798951289,0.22586750034508218,0.2633687651635829,0.6384906085752108,0.9550579299004498
Dera Ismail Khan,0.5931371217631457,0.6060610006285981,0.4616186527518701,0.8623499203358516,0.4307401342511308
F.A.T.A.,0.7540159155772085,0.6026420614088199,0.749378881544621,0.2474270904736382,0.59431704672667
Hazara,0.8021614457085147,0.6368084833928903,0.15754814352280855,0.35130044651411874,0.7845179863374945
Kohat,0.338037651610258,0.3305055139201871,0.7129989655469343,0.34072654948302217,0.41524736191807654
Malakand,0.43871285008943006,0.19145940105070125,0.6850946024338355,0.8039314439848532,0.7021948244967341
Mardan,0.6667211034800461,0.2658883913597815,0.8602721248859102,0.5270092466398894,0.5184587763510056
Peshawar,0.3306565569317461,0.9146324591995681,0.31982948002828604,0.6217875086730218,0.0015815910128624822
Northern Areas,0.14636047662622687,0.34077709796997535,0.1323401597378132,0.21877257509659098,0.2907969864883819
Bahawalpur,0.8689735659041414,0.6673220753856095,0.32403801306028157,0.020084545670943643,0.049077145383564336
Dera Ghazi Khan,0.3163786035060432,0.782407874567056,0.7700806866418713,0.35780957333984165,0.08577499790884935
Faisalabad,0.5761710601936769,0.1383309562292392,0.8061934518677841,0.27286876588727815,0.5976036193444391
Gujranwala,0.9392578669447657,0.5503749467796193,0.46513878473409664,0.42131832381006584,0.6114157839407924
Lahore,0.005414473270714315,0.34893757190223385,0.9866317496004517,0.4199835467415042,0.0031072978549587793
Multan,0.9757590848112135,0.6114735922152629,0.34813546435836684,0.5057251997830466,0.9765647392358613
Rawalpindi,0.2540938599889697,0.32970669344476644,0.9839250261942651,0.36520316790209484,0.5600433289100231
Sargodha,0.10175199121949474,0.7090460503386514,0.6525668132952894,0.8956116388771113,0.18542838602066636
Hyderabad,0.8451430515688699,0.12036665944660685,0.7220804778069871,0.37299625556577254,0.06586672891515843
Karachi,0.9918951590314662,0.5462711263472098,0.08345939310542794,0.8931708642923861,0.03564381748011092
Larkana,0.696560905382479,0.816606469191695,0.6244410370158264,0.024398124624466444,0.19151343613769245
Mirpur Khas,0.4044945804847776,0.014962919610341574,0.5187185325864836,0.4392729112750837,0.5777535103965473
Rann of Kutch,0.9473776490211198,0.8712392928597038,0.9125127729443681,0.3638597201235406,0.4562562580223779
Sukkur,0.9594306793116274,0.026478081423674804,0.8382067587156777,0.33832283344456004,0.12400223302558089
