name,1d,1w,1m,1y,all
Łódź,0.33356810775877643,0.6029477203949566,0.690009961767446,0.09289749615460563,0.06578835024471164
Świętokrzyskie,0.5388016127080608,0.8503529890179516,0.31780873584589353,0.2432527039094774,0.306085876264904
Greater Poland,0.17879346377431649,0.31268707995012546,0.43646256354220025,0.1204804416816464,0.6061180244365298
Kuyavian-Pomeranian,0.12491999670446707,0.045591626773322735,0.23256056521658308,0.29418580662049165,0.023961968063415662
Lesser Poland,0.9653427865879248,0.6478053014982501,0.7361997289291147,0.6504060863144214,0.9195915846531242
Lower Silesian,0.7319191452340865,0.15105968466468467,0.33256497170731436,0.028972675197784237,0.8794569441276591
Lublin,0.26596631782377356,0.6637076619561534,0.5720177414018742,0.9515317867200923,0.5995997424302446
Lubusz,0.6976005306902345,0.9327480068252391,0.7382612955786221,0.2871419533126075,0.2824064159553059
Masovian,0.44606012824164,0.3488085963226978,0.5978021103868721,0.69838825188826,0.7877042381267072
Opole,0.6648186840099557,0.3622813650829395,0.7563043611175784,0.7000169396282536,0.8020555858515008
Podlachian,0.30118630481430775,0.24912853931766865,0.04829295225645669,0.7860012729977078,0.7522055332075416
Pomeranian,0.21586246396210684,0.8656451364772415,0.41178410225732087,0.9119916029787052,0.9860490617387229
Silesian,0.5293918478014163,0.29291837514773855,0.6987711816330023,0.7437016122039964,0.8962163511823833
Subcarpathian,0.3997520951826098,0.9813297263780923,0.894442052249374,0.32571524760167436,0.24468957148268355
Warmian-Masurian,0.21231485774006076,0.46429251165797847,0.24148061611915783,0.3859643869628987,0.8275562078303231
West Pomeranian,0.2576857152527704,0.20100643456262213,0.5853984155514125,0.16186037673748332,0.10384842941862038
