name,1d,1w,1m,1y,all
Amazonas,0.6832203487245522,0.4165838917605983,0.534582593799788,0.09610855259306395,0.5488598004471003
Anzoátegui,0.27700532850260395,0.8374786984231897,0.9633415975219037,0.943347338088457,0.23983190471332494
Apure,0.9727436382273384,0.9832293405582523,0.9938735636605488,0.5949307838264719,0.24980546286695082
Aragua,0.18829312613894844,0.70334564379636,0.7000533189407812,0.9410203591161663,0.6882456320908232
Barinas,0.3132476397016145,0.553223065726844,0.25803109507570776,0.9860669573391914,0.41932773438050985
Bolívar,0.8494257607392659,0.5090061348922816,0.6406821773882615,0.7571263716896056,0.6343123649150169
Carabobo,0.12298568757614792,0.9724382852320916,0.05779702563262645,0.07187783597729935,0.1426727105793315
Cojedes,0.8136030579679805,0.2158812070927285,0.2740847889254209,0.8220720927183811,0.5635386518368044
Delta Amacuro,0.6107682868367416,0.9271885606294231,0.7805589618778803,0.5802310979835866,0.7548249637250838
Dependencias Federales,0.11701769009126406,0.15291130744502168,0.698381735657234,0.6843126230614589,0.8476715605754298
Distrito Capital,0.4928029769372554,0.21976635424199276,0.23618382777717983,0.8536789019613881,0.7036202303939219
Falcón,0.12801388625233823,0.13756936745498438,0.04145495870935867,0.06957112757325856,0.021479691747548824
Guárico,0.888272452108241,0.8240641463300512,0.23205972846098755,0.11632299347779695,0.5323300130081603
Lara,0.6454780633895565,0.9618576712537406,0.04460480202287276,0.6923838774575538,0.9422540553982781
Mérida,0.06701526731663332,0.6782575886245816,0.4490003761742767,0.5009682682709037,0.6445227222881282
Miranda,0.9907294424427193,0.9149337740554974,0.3997162296225365,0.45515661039969213,0.4895313288959442
Monagas,0.8687780366711592,0.01107570002026892,0.7868461393695295,0.2998789260577518,0.00540846418097185
Nueva Esparta,0.43937831430445184,0.2429515256150242,0.44298099047884765,0.4559041713523293,0.6661069725331711
Portuguesa,0.60118537707609,0.37064521716428167,0.3839097666175789,0.6856531236465103,0.0827605227036371
Sucre,0.40422211433250754,0.6676145607970524,0.08758000171850922,0.6925096200299286,0.2588406817365826
Táchira,0.5667858980418473,0.6664382433706433,0.8542991005867278,0.3156509730457875,0.20820378833812536
Trujillo,0.9590811130026048,0.17225741589945587,0.7658631354542075,0.6750909607064637,0.9424751664171362
Vargas,0.4961532953214761,0.7122079355565007,0.4315568356797147,0.8334585617079845,0.5985447453419208
Yaracuy,0.6899966360133822,0.4554392694497834,0.996177374813977,0.4832416283447504,0.3204368039345965
Zulia,0.3196991914255537,0.9380129306467907,0.26120244773778445,0.38358285137661474,0.4862867775972908
