name,1d,1w,1m,1y,all
Eastern Cape,0.04751783113352803,0.669855722024786,0.043967834773881886,0.17452397449754808,0.3636579173071457
Free State,0.8708379525385123,0.8954741663900128,0.05565141309185151,0.9952322458605334,0.7536764525605033
Gauteng,0.5143523275165292,0.9315065158779965,0.2796687472309667,0.3764647848825665,0.7504557303216483
KwaZulu-Natal,0.39986162483797716,0.7365151163650888,0.030398897653971746,0.7476295726835431,0.9664410509120731
Limpopo,0.22305533836963576,0.7949440912086487,0.7681163651012332,0.5320175387084068,0.113974629902174
Mpumalanga,0.09648916793395157,0.3661932421553873,0.049360768323060356,0.01773646956948749,0.015673298513768974
North West,0.048348817351061335,0.2874050315626524,0.006995380980685195,0.8128501866482314,0.1781079575158463
Northern Cape,0.08563173713644556,0.49631742276806345,0.25627317094799473,0.8590701943343971,0.10777585873129503
Western Cape (isolated islands),0.49821462278213513,0.9458634053739651,0.21798818540447773,0.35550497905978884,0.6021311373484309
Western Cape,0.565654648944698,0.4764084496714508,0.07128328440159726,0.1648701018772878,0.8079901724564511
