name,1d,1w,1m,1y,all
Anhui,0.79339180373489,0.23143181051705952,0.26631485234174024,0.25758549419027166,0.18402111826305767
Beijing,0.06600686913941434,0.6331279974387107,0.3392962645092893,0.9855819201522175,0.8834521506512244
Chongqing,0.5016397891321154,0.41551462887855783,0.9368603202186181,0.9759968327645594,0.5594741894926553
Fujian,0.7619712889483383,0.7788744534828638,0.15548110872034349,0.1415471761441931,0.19056112884879917
Gansu,0.9526762620322051,0.9745566137727268,0.5785773929949152,0.40169183431271427,0.5656673514464828
Guangdong,0.8650725713836165,0.6524532087762669,0.3510108792104566,0.6911088268580685,0.13233143148099247
Guangxi,0.5928531344979383,0.6509430585668949,0.9741085923444446,0.5124555058887822,0.21009640364084392
Guizhou,0.27899828564947915,0.1400773585551549,0.1998884325128868,0.5530644740087329,0.1467403220623168
Hainan,0.09210155089489447,0.7904532772507327,0.3449106866517565,0.773559980263412,0.2440489665506671
Hebei,0.8724853573769973,0.6062757534471627,0.97092872444577,0.3969570782720737,0.6641324240533631
Heilongjiang,0.10100631885008049,0.7237366039113011,0.35294748115957175,0.5290444049786542,0.8004612255881935
Henan,0.24918845978138615,0.5742814348649637,0.04775550441409626,0.8338062039459022,0.8645484804981017
Hubei,0.8409924777458068,0.7079788409064937,0.3227572930048862,0.8986547083059838,0.05813344964115008
Hunan,0.6354366889756857,0.7630018409472584,0.6049203675841153,0.6318593762897449,0.9774787913062836
Jiangsu,0.8549302807416672,0.026379041362276534,0.6747709392942317,0.5092159355846413,0.9876801654466865
Jiangxi,0.9536362835645372,0.5097839457550738,0.32662411282691906,0.8796777348614276,0.7613751742284576
Jilin,0.19027723342251823,0.8571072330296856,0.9344482284359049,0.15397190820250972,0.047716712786476045
Liaoning,0.4775475949511997,0.6284013534680708,0.6961305423477272,0.3512553766675435,0.3559651980897004
Nei Mongol,0.23269718830092312,0.6731865836916971,0.9358518205091079,0.4708339401957935,0.09560133746308741
Ningxia Hui,0.9442313587222901,0.8715431446027821,0.12174983626870584,0.5258188405187013,0.18499343246204425
Qinghai,0.23196617057278612,0.9619467310022575,0.1064531259248932,0.12373211021409813,0.45192431768735564
Shaanxi,0.4981195945807977,0.8415203043306858,0.7498922548844369,0.12300513852957995,0.6926583652575756
Shandong,0.9548026288437205,0.650988846041069,0.6618767032680094,0.15283579406163572,0.06357627663055998
Shanghai,0.011479466647777214,0.4253486448593701,0.8539064124277826,0.7094236329016668,0.008937675123370514
Shanxi,0.48658731858417625,0.14480500401529184,0.4623002651069136,0.8754736544848625,0.33492367208291807
Sichuan,0.2373086682305221,0.6938055554440091,0.8189333064022665,0.9464404514839823,0.2816454361163495
Tianjin,0.5339045357130657,0.7631428873848027,0.011785793884738327,0.8420971340600835,0.1129217282251731
Xinjiang Uygur,0.816275348369809,0.4261358424565519,0.2655643808256898,0.6111664053182738,0.09409475335937512
Xizang,0.7248146009379679,0.17606608317941075,0.06619704425352702,0.1386660625346836,0.14818532850832167
Yunnan,0.04548655349015562,0.3258196559647948,0.9526348471514237,0.5944430107937956,0.4305260484320971
Zhejiang,0.22476062644672357,0.06349538386901465,0.8168540228528283,0.26471607118254914,0.9652538580628637
