name,1d,1w,1m,1y,all
Southern Savonia,0.2492108550588159,0.18007458225415074,0.30813482944872583,0.9348628834101514,0.25826077790174506
Lapland,0.5536179034875506,0.37823420358365134,0.7381381451867428,0.2434960018208453,0.6392464625560753
Kainuu,0.787702181478352,0.20215634039281505,0.2615958512204001,0.6717591366843063,0.3349715305965849
Northern Ostrobothnia,0.9146767220909974,0.7141663630586067,0.16778907596477743,0.46852018756859026,0.9505899629592427
Eastern Uusimaa,0.8253121807642898,0.8588459808921455,0.7502637174324914,0.4507794234854915,0.9099225846975572
Kymenlaakso,0.41927556290320156,0.6747910244780101,0.7884720895338363,0.7967877012779983,0.011874906403792074
Päijänne Tavastia,0.043626934736110456,0.753333257127688,0.9083794717963983,0.07038077062692583,0.45440007927518034
South Karelia,0.10717636494208149,0.3308304398375673,0.8275920837289721,0.9562877616472947,0.3668310874403198
Uusimaa,0.24943083874800553,0.3595389456739282,0.13766538418003926,0.2828221601435651,0.8882431242530948
Tavastia Proper,0.34451455872741266,0.5253912364505097,0.22676253294138726,0.012859463334764065,0.5335572480294738
North Karelia,0.33602796477439567,0.9806388368978747,0.7572368709792288,0.24971932838434863,0.25212410912075545
North Savonia,0.35636385148522143,0.08255782123105015,0.09591401002369249,0.8004385334824028,0.8337998541581982
Päijänne Tavastia,0.12275910138764878,0.12037078440611193,0.5598904110069786,0.014275987561188308,0.4358154499078948
Central Finland,0.23500579403501898,0.7365984581912323,0.1389149969040152,0.6886303505248652,0.7833538876304696
Central Ostrobothnia,0.9651671989795904,0.720277226891419,0.3263891991728034,0.38710704451854505,0.6703027304818995
Finland Proper,0.9567196368743915,0.21247563768483235,0.7756779516364289,0.9893576639300998,0.4212978470593719
Ostrobothnia,0.4434423477684989,0.03226786627835598,0.37621201519913494,0.10623481440604277,0.9746990314534146
Päijänne Tavastia,0.8366139285076065,0.8587777194594594,0.3318327619828221,0.3153973099184705,0.22451206990553496
Pirkanmaa,0.850100476758969,0.8186785049799474,0.8524954915178854,0.2857080412700316,0.8960450323247391
Satakunta,0.09508739192488158,0.7007590905441418,0.7953926061618857,0.668649781700519,0.7245136992463117
Southern Ostrobothnia,0.7014557620349963,0.8128620599491024,0.32478105372065647,0.6273710592712919,0.6467724786631344
