name,1d,1w,1m,1y,all
Aveiro,0.7222898293111636,0.7783676764857231,0.767928527664428,0.4201675203028621,0.17990024418376482
Beja,0.15278054968704513,0.6657766055856048,0.7937376924057509,0.02383041643157935,0.15476582958900242
Braga,0.5727446772099313,0.6279362956327169,0.40818497247627694,0.04051019100710829,0.40905992438384975
Bragança,0.18848278377640604,0.6857327490735533,0.6601967244007867,0.49729170354111685,0.3134183660388469
Castelo Branco,0.37929649654052644,0.1633281635586773,0.5631440691900054,0.21428040626169131,0.9642075016017592
Coimbra,0.710700939908466,0.07922048275796068,0.6345385688033355,0.542594167171856,0.013683754814055704
Évora,0.048466490679310636,0.485162763435973,0.5818613640721421,0.644850842403864,0.07338586791819557
Faro,0.11310306075713383,0.4510855592728876,0.230219500823292,0.9812792484507207,0.7441698962385285
Guarda,0.5165885657325329,0.1892129167932184,0.7619746428452464,0.9469343395625255,0.45451268062685024
Leiria,0.056823168516205835,0.3375242674601733,0.9635257347130203,0.4091871945512179,0.1831434736810844
Lisboa,0.38406828415391414,0.5541519710239116,0.7575424760957244,0.4687183118048899,0.6663531635215906
Portalegre,0.7068542131445059,0.5978849748724888,0.8921957094442933,0.3512721733272819,0.33746366285086427
Porto,0.8823086298069928,0.8153138456650073,0.559053797454046,0.30064295056537893,0.6052296109891262
Santarém,0.16263283790977656,0.8475856310051408,0.10481274007073471,0.8805466859058564,0.9466610640416651
Setúbal,0.05008671916662444,0.4506354614777962,0.6435303809175789,0.17077285420796517,0.41692069091184525
Viana do Castelo,0.9713176074195833,0.6372246740706745,0.9963231028033847,0.5099715816905621,0.17594711212828973
Vila Real,0.12293360815193832,0.945432677287877,0.5273127804407614,0.5117821780568038,0.6585718918666134
Viseu,0.2573975086783318,0.2855044253574771,0.7492265083192723,0.1989055729550836,0.22164739098891062
